,Pre-B,B,Pro-B,Early Lymphoid,HSC MPP,Early Erythroid,pDC,Cycling Progenitor,Megakaryocyte Precursor,CD4 Memory T,NK,CD8 Memory T,Plasma_Cell,EoBasoMast Precursor,Late GMP,Early GMP,cDC,LMPP,MEP,Pro-Monocyte,Naive T,Monocyte,Late Erythroid,Stromal
BA2011R,0,0,0.000178501583759819,0,0,0,0,0,0.0284522253525964,0,0.0674481687875649,0,0,0,0,0,0,0,0,0,0,0.71166966453511,0,0.192251439740969
BA2217R,0,0,0.621773911141878,0,0,0,0,0,0.290193878232399,0,0.00100269958961058,0,0.000236397155804362,0,0,0,0.0355061462819226,0,0,0,0,0.00110318978718429,0,0.0501837778112014
BA2454R,0.00273042875400702,0,0.294092497810678,0,0,0,0,0,0.425075235265467,0,0,0,0,0,0,0,0.0401136190990175,0,0,0,0,0,0,0.237988219070831
BA2776R,0.374607982333964,0,0,0,0,0,0,0,0.450841206351026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174550811315009
BA2218R,0,0,0.00204086314263453,0.153009058673079,0,0,0,0.185459957281206,0.24496054832899,0,0,0,0,0.00114440118736907,0,0.185962894871815,0,0.0662058097383004,0.0785075721419996,0,0,0.0483324484877221,0,0.0343764461468849
BA2135R,0,0,0.27398621490389,0,0,0,0,0.00203682760829402,0.163698034921782,0,0.0232170186465298,0,0,4.72512546797709e-05,0,0,0,0,0,0,0,0.453770023823146,0,0.0832446288416789
BA2914R,0.00102341895799306,0,0,0,0,0,0,0,0.134848764006313,0,0,0,0,0,0,0,0,0,0,0.00206808305640279,0,0.767840806686835,0,0.0942189272924565
BA2500R,0.000184946227186314,0,0,0,0,0,0,0,0.344158436098632,0,0.0120645185501415,0,0,0,0,0,0.0012365784061976,0,0,0.00289331176937914,0,0.414197739671892,0,0.225264469276571
BA2830R,0.00268967509649257,0,0.488838720316035,0,0,0,0,0.00034953182732395,0.225804789923585,0,0,0,0,0,0,0,0.0101714994674813,0,0,0,0,0.148385187579397,0,0.123760595789685
BA2406R,0,0,0,0,0,0,0,0,0.0758763710345576,0,0.00254706743437956,0,0.00187696622180883,0,0,0,0,0,0,0.00449047037585909,0,0.829371514440659,0,0.0858376104927358
BA3108R,0,0,0.472158141921158,0,0,0,0,0,0.341557777672497,0,0.0205097426413243,0,0.00144547615797383,0,0,0,0,0,0,0,0,0.0294021022677665,0,0.134926759339281
BA2924R,0,0,0.0643468450406926,0,0,0,0,0,0.139772942283361,0,0.0981846983794858,0,0,0,0,0,0.0104863815201152,0,0,0,0,0.422096192327985,0,0.265112940448361
BA2303R,0,0,0,0,0,0,0,0,0.0811887524566442,0,0,0,0,0,0,0,0.140542859725615,0,0,0,0,0.545558996855723,0,0.232709390962018
BA2160R,0.00353477793187738,0,0.257193126050546,0,0,0,0,0,0.355557123614642,0,0.00121221446585992,0,0,0,0,0,0.000763933873042323,0,0,0,0,0.0481719110983325,0,0.3335669129657
BA2038R,0.115326734087241,0,0,0,0,0,0,0,0.077853878127954,0,0.0514180140837598,0,0.00114338760887922,0,0,0,0,0,0,0.00284271945061825,0,0.703479668183738,0.00628870843668532,0.0416468900211236
BA2602R,0.0566031296070456,0,7.92308977252315e-05,0,0,0,0,0,0.0560265198602048,0,0.0213667563758208,0,0,0,0,0,0,0,0,0.0329053836313367,0,0.780430556332573,0.00464370396077381,0.0479447193345202
BA2964R,0.0432705743738292,0,0,0,0,0.00113816688580316,0,0,0.105536409861263,0,0.0161591025849139,0,0.00526976918946745,0,0,0,0.000613200242976126,0,0,0,0,0.76246167803011,0.023336191997796,0.0422149068338411
BA2898R,0,0,0.0442108147350844,0,0,0.000457058739517157,0,0,0.103263101637866,0,0.144159783560956,0,0.00325982355192234,0,0,0,0.00130588314300939,0,0,0.00198378637347934,0,0.631173258559151,0.023515426529868,0.0466710631691468
BA3003R,0.00566429314390345,0,0.0347588918830847,0,0,0,0,0,0.0924335205086961,0,0.147577122787752,0,0.00391047825238597,0,0,0,0,0,0,0,0,0.644762716192439,0.0245114815851377,0.0463814956466011
BA2111R,0.0126791466190179,0,0,0,0,0.000266927643487463,0,0,0.143694889653616,0,0.0568522449052497,0,0.00443214018098241,0,0,0,0,0,0,0.00394197938216487,0,0.65102771474662,0.055474530881177,0.0716304259876843
BA2827R,0.0248785904457668,0,0,0,0,0.000250098332625478,0,0,0.125020240642932,0,0.0218673421612924,0,0.00519890194862122,0,0,0,0.0018638892633877,0,0,0.000776696250829018,0,0.68994729364396,0.0502928788508948,0.0799040684596903
BA2912R,0.0692792762894631,0,0.0161472301262741,0,0,0.000699285010484815,0,0,0.0981803716210236,0,0.133194698704889,0,0.00278032061274152,0,0,0,0.000479467044407216,0,0,0,0,0.59960486805916,0.0291070161874143,0.050527466344142
BA2437R,0.0436586858833629,0,0.00481687638023762,0,0,0,0,0,0.139247828589108,0,0.104568539401306,0,0.00278424027510049,0,0,0,0,0,0,0,0,0.56667784089643,0.0423352150275145,0.0959107735469404
BA2283R,0.0247024727984932,0,0.0113968911912232,0,0,0,0,0,0.0823642798912074,0,0.140443610071712,0,0.000500844875427664,0,0,0,0.00100105905609586,0,0,0,0,0.67241060182328,0.00875037482636494,0.0584298654661958
BA2057R,0.0113020394517604,0,0.00955232357710918,0,0,0.000881799600134854,0,0,0.105332702797295,0,0.151013335943649,0,0.00994896654300059,0,0,0,0.0014959141674641,0,0,0.00162690763339524,0,0.615158691098622,0.0367739084940427,0.0569134106935275
BA2633R,0.113091535207117,0,0.0121760116585835,0,0,0,0,0,0.131397560632373,0,0.0802970925306206,0,3.80960323378046e-05,0,0,0,0,0,0,0,0,0.548858521311195,0.0218150814390668,0.0923261011887058
BA3034R,0.0316202274043216,0,0,0,0,0,0,0,0.105174059949947,0,0.0425325646093284,0,0.000763102780149363,0,0,0,6.28639911634179e-05,0,0,0.00467587437316726,0,0.704620912661688,0.0360956970138881,0.0744546972163467
BA2607R,0.0279452248354676,0,0.00540416974483997,0,0,0,0,0,0.10710687261385,0,0.109756432672361,0,0.00347089955319868,0,0,0,0,0,0,0,0,0.63653599976013,0.041402624168273,0.068377776651879
BA2761R,0.0422819372649703,0,0.00270830961266474,0,0,0,0,0,0.10308786576137,0,0.079553566034808,0,0.00570190265678745,0,0,0,0,0,0,0,0,0.700205906443505,0.00398732201481304,0.062473190211082
BA2795R,0.0145325665834739,0,0.0170018759120539,0,0,0,0,0,0.0784212876424109,0,0.157060449653789,0,0.000890261576014173,0,0,0,0,0,0,0,0,0.605272392947469,0.0118620134666848,0.114959152218105
BA2182R,0.065382552623367,0,0,0,0,1.20861631565345e-05,0,0,0.116729095466099,0,0.0910636927033761,0,0.00236733525606725,0,0,0,0,0,0,0.00453254018531214,0,0.624688377389366,0.0284661943824594,0.0667581258307963
BA2152R,0.0364796102640741,0,0,0,0,0,0,0,0.114653377586711,0,0.0291773309371168,0,0.00147278118004224,0,0,0,9.49263136082854e-05,0,0,0.00431100137393441,0,0.725278210088162,0.0365789602349488,0.0519538020214023
BA2381R,0.0684152023864437,0,0.433686302866299,0,0,0,0,0,0.248874759118068,0,0,0,0,0,0,0,0.153726053140988,0,0,0,0,0,0,0.0952976824882012
BA2931R,0.0712049773149512,0,0,0,0,0,0,0,0.057143206325677,0,0.108489957475231,0,0.000405575080047992,0,0,0,0.0428453335067189,0,0,4.46142894055366e-05,0,0.63581161547904,0,0.0840547205289285
BA2040R,0.00686844914076725,0,0,0,0,0,0,0,0.0123375345221669,0,0.0285852969453464,0,0.000163226285735619,0,0,0,0,0,0,0.00361095229303517,0,0.860516706114345,0,0.0879178346986035
BA2590R,0.263725496165658,0,0,0,0,0,0,0,0.379944644698605,0,0,0,0,0,0,0,0,0,0,0,0,0.120116835117608,0,0.236213024018129
BA3195R,0.000284026371623497,0,0.426786250082671,0,0,0,0,2.92943943469466e-05,0.119489622855561,0,0,0,0,0,0,0,0.0565492097662074,0,0,0,0,0.217136931018396,0,0.179724665511195
BA2516R,0.0327520543926337,0,0.193219849549589,0,0,0,0,0,0.238006911146081,0,0.00150252461662588,0,0,0,0,0,0.0180655169545543,0,0,0.000303416908469949,0,0.456858299548409,0,0.0592914268836368
BA2353R,0,0,0.353709304824683,0,0,0,0,0,0.319236236256157,0,0,0,0,0,0,0,0.096360465100215,0,0,0,0,0.109006947706181,0,0.121687046112764
BA3036R,0,0,0.315877845742214,0.0014470028014436,0,0,0,0,0.274985762603342,0,0.044251173373201,0,0,0,0,0,0,0,0,0,0,0.25857790901491,0,0.10486030646489
